Recipe	True_values_count	False_values_count
Tomato Pesto Chicken Alfredo	27	39263
Oven-Baked Fish & Chips	34	39256
Chicken Souvlaki Platter	7	39283
Maple Mustard Salmon	5	39285
Oaxacan Pork Tacos	50	39240
Bangkok Vegetable Pad Thai	34	39256
Mac and Cheese au Gratin	35	39255
Beef & Spinach Lasagna Meal Box	9	39281
Uncooked Chicken Parmesan 	10	39280
Shepherd's Pie Meal Box	15	39275
Uncooked, Beef & Broccoli Stirfry Meal Box	2	39288
Uncooked Butter Chicken With Rice Meal Box	9	39281
Broccoli Rice Crunch Salad Kit	4	39286
Penne Rose with Chicken Pasta Kit	3	39287
Spaghetti Meatballs Pasta Kit	1	39289
Penne Alfredo Pasta Kit	4	39286
Rainbow Kale Coleslaw Salad Kit	4	39286
Mushroom Risotto Kit	4	39286
Linguine Carbonara Pasta Kit	4	39286
Tortellini Rose Pasta Kit	4	39286
Greek Style Pasta Salad Kit	0	39290
Butter Chicken Explore Kit	0	39290
General Tso Chicken Stirfry	0	39290
Mexican Style Burrito Bowl Stirfry	3	39287
Chefs Chicken Biryani Explore Kit	0	39290
Hakka Style Shanghai Chicken Explore Kit	0	39290
Asian Style Beef Broccoli Stirfry	1	39289
Szechuan Style Quinoa Veggies Stirfry Kit	0	39290
Thai Style Green Curry Chicken Stirfry	0	39290
Chicken Tikka Masala Explore Kit	0	39290
Hakka Style Manchurian Beef	1	39289
Chicken Pad Thai Stirfry Kit	0	39290
Cabbage Rolls	0	39290
Shepherd Pie	0	39290
Meat Cannelloni	0	39290
Meat Lasagna	0	39290
Chicken Parmesan	2	39288
Peppercorn-Crusted Steak	58	39232
Turkey Pot Pie	51	39239
Chili Con Carne	203	39087
Southwestern Cauliflower Tostadas	1369	37921
Butter Chicken	33	39257
