"FREQ","X2(1)","R1(1)"
1,-67.2382,-0.0170608
1.258925412,-65.2449,-0.0270057
1.584893192,-63.2554,-0.0427164
1.995262315,-61.272,-0.0674896
2.511886432,-59.298,-0.106438
3.16227766,-57.3386,-0.167395
3.981071706,-55.4014,-0.262123
5.011872336,-53.497,-0.407757
6.309573445,-51.6398,-0.628081
7.943282347,-49.8468,-0.953741
10,-48.1342,-1.41983
12.58925412,-46.5122,-2.05936
15.84893192,-44.9768,-2.89303
19.95262315,-43.508,-3.91918
25.11886432,-42.0765,-5.11038
31.6227766,-40.6599,-6.4199
39.81071706,-39.258,-7.7961
50.11872336,-37.8975,-9.19904
63.09573445,-36.625,-10.613
79.43282347,-35.492,-12.0492
100,-34.5389,-13.5354
125.8925412,-33.7827,-15.0991
158.4893192,-33.2151,-16.754
199.5262315,-32.809,-18.4977
251.1886432,-32.5296,-20.3165
316.227766,-32.343,-22.1928
398.1071706,-32.2213,-24.1104
501.1872336,-32.1438,-26.0564
630.9573445,-32.0961,-28.0216
794.3282347,-32.0688,-30.0007
1000,-32.0565,-31.9922
1258.925412,-32.0567,-33.9993
1584.893192,-32.0694,-36.0285
1995.262315,-32.097,-38.0694
2511.886432,-32.1451,-39.975
3162.27766,-32.2227,-41.0343
3981.071706,-32.3435,-39.8777
5011.872336,-32.5265,-36.6762
6309.573445,-32.7953,-32.8803
7943.282347,-33.1758,-29.1779
10000,-33.6889,-25.7402
12589.25412,-34.3414,-22.6071
15848.93192,-35.1202,-19.7871
19952.62315,-35.9949,-17.2746
25118.86432,-36.933,-15.0584
31622.7766,-37.9195,-13.1295
39810.71706,-38.966,-11.4853
50118.72336,-40.1049,-10.1263
63095.73445,-41.3707,-9.0469
79432.82347,-42.7833,-8.22694
100000,-44.3404,-7.63088
125892.5412,-46.023,-7.21407
158489.3192,-47.8044,-6.93153
199526.2315,-49.6581,-6.74442
251188.6432,-51.5621,-6.62253
316227.766,-53.5,-6.544
398107.1706,-55.4602,-6.49379
501187.2336,-57.4348,-6.46183
630957.3445,-59.4187,-6.44156
794328.2347,-61.4085,-6.42873
1000000,-63.4021,-6.42061
1258925.412,-65.398,-6.41548
1584893.192,-67.3954,-6.41224
1995262.315,-69.3938,-6.4102
2511886.432,-71.3927,-6.40891
3162277.66,-73.3921,-6.4081
3981071.706,-75.3917,-6.40758
5011872.336,-77.3914,-6.40726
6309573.445,-79.3913,-6.40705
7943282.347,-81.3912,-6.40692
10000000,-83.3911,-6.40684
